customer_id,country,join_date
1,Marshall Islands,2024-01-26
2,French Southern Territories,2023-01-30
3,Morocco,2024-12-13
4,Svalbard & Jan Mayen Islands,2024-03-09
5,Mauritania,2023-07-03
6,American Samoa,2023-01-15
7,Mongolia,2024-03-22
8,Maldives,2023-05-02
9,Puerto Rico,2024-10-01
10,Slovakia (Slovak Republic),2023-06-23
11,Guatemala,2024-11-26
12,Ukraine,2023-06-16
13,Singapore,2024-08-17
14,Chad,2023-04-13
15,Papua New Guinea,2023-09-08
16,Nigeria,2023-07-25
17,Latvia,2024-09-08
18,Pakistan,2024-08-25
19,Russian Federation,2023-03-23
20,Fiji,2023-08-13
21,Northern Mariana Islands,2023-06-25
22,Croatia,2024-12-09
23,New Caledonia,2024-06-22
24,Thailand,2023-03-19
25,Bulgaria,2024-11-16
26,Bolivia,2023-03-05
27,Zimbabwe,2024-10-14
28,Guernsey,2024-07-12
29,Uruguay,2024-11-07
30,Brazil,2023-12-19
31,Norway,2023-11-19
32,Reunion,2022-12-30
33,Czech Republic,2023-06-01
34,Liberia,2024-06-02
35,Grenada,2023-10-21
36,Namibia,2023-10-20
37,Tunisia,2023-06-01
38,Cocos (Keeling) Islands,2024-02-18
39,Antarctica (the territory South of 60 deg S),2023-01-30
40,Mayotte,2024-05-24
41,Niue,2023-04-04
42,Nigeria,2023-07-09
43,Rwanda,2022-12-29
44,French Guiana,2024-02-18
45,Guinea,2023-05-06
46,Cameroon,2023-04-14
47,Canada,2024-12-06
48,Romania,2024-11-24
49,Chad,2024-01-16
50,Dominican Republic,2023-03-19
51,Slovenia,2023-05-21
52,Tanzania,2023-04-07
53,Greenland,2024-03-14
54,Moldova,2023-11-04
55,Togo,2024-01-26
56,Iceland,2024-07-02
57,Benin,2023-03-08
58,Fiji,2024-10-01
59,Tuvalu,2024-11-19
60,Uzbekistan,2023-01-23
61,Bouvet Island (Bouvetoya),2024-12-08
62,Heard Island and McDonald Islands,2024-08-21
63,Angola,2024-02-24
64,Bhutan,2024-05-09
65,Malaysia,2023-11-16
66,Cayman Islands,2023-02-17
67,Sudan,2024-08-27
68,Isle of Man,2024-02-04
69,Mayotte,2023-05-05
70,Bahrain,2024-07-03
71,Northern Mariana Islands,2023-02-04
72,Paraguay,2023-02-18
73,Brazil,2023-09-27
74,Uganda,2024-01-01
75,Tokelau,2024-01-23
76,Sudan,2023-03-23
77,Madagascar,2024-03-21
78,Egypt,2023-05-09
79,Saudi Arabia,2023-04-13
80,Afghanistan,2023-09-13
81,Papua New Guinea,2024-07-16
82,Bhutan,2023-11-10
83,Brazil,2024-09-11
84,Belize,2024-08-13
85,Portugal,2024-02-10
86,Senegal,2024-11-29
87,Ethiopia,2023-11-27
88,Tokelau,2023-01-30
89,Italy,2024-07-15
90,Andorra,2023-03-11
91,Philippines,2024-10-30
92,New Caledonia,2024-08-16
93,Congo,2024-03-10
94,Bulgaria,2023-08-29
95,Luxembourg,2023-01-23
96,Norfolk Island,2024-01-31
97,Egypt,2024-09-20
98,Russian Federation,2023-05-12
99,Switzerland,2024-09-02
100,United Kingdom,2023-03-06
101,United States of America,2023-07-25
102,Jersey,2023-08-24
103,British Virgin Islands,2024-06-10
104,Aruba,2023-03-23
105,San Marino,2024-08-05
106,Myanmar,2024-07-11
107,Rwanda,2024-05-06
108,Uzbekistan,2023-02-18
109,Iraq,2023-08-16
110,Mauritania,2023-03-05
111,Korea,2023-02-27
112,Sao Tome and Principe,2024-02-17
113,Malawi,2024-06-22
114,Saint Barthelemy,2024-02-29
115,Greece,2024-10-12
116,Vanuatu,2022-12-30
117,Bahrain,2023-08-12
118,Czech Republic,2023-04-06
119,Togo,2023-03-18
120,Australia,2023-04-22
121,Cuba,2023-03-28
122,Montenegro,2023-12-30
123,Antigua and Barbuda,2022-12-24
124,Somalia,2023-08-07
125,Korea,2023-12-19
126,Peru,2024-02-12
127,Syrian Arab Republic,2023-08-25
128,Turks and Caicos Islands,2023-06-01
129,Haiti,2024-01-20
130,Kyrgyz Republic,2024-11-20
131,Antigua and Barbuda,2023-02-13
132,Belize,2024-04-20
133,Switzerland,2024-04-17
134,Hungary,2024-01-18
135,Bhutan,2023-12-02
136,Namibia,2023-12-10
137,Central African Republic,2023-05-22
138,Saudi Arabia,2023-09-27
139,Nicaragua,2023-05-02
140,Heard Island and McDonald Islands,2024-11-16
141,Cocos (Keeling) Islands,2023-06-26
142,Italy,2024-08-10
143,Norway,2024-08-29
144,Grenada,2024-10-09
145,American Samoa,2023-03-19
146,United States Virgin Islands,2024-09-07
147,Comoros,2023-12-21
148,Samoa,2023-08-06
149,Zambia,2024-10-30
150,Korea,2024-07-13
151,Korea,2023-05-24
152,United Arab Emirates,2023-05-23
153,Norfolk Island,2024-06-10
154,Switzerland,2024-08-15
155,Guadeloupe,2024-08-01
156,Saint Pierre and Miquelon,2024-03-07
157,Cape Verde,2023-04-24
158,Egypt,2024-04-30
159,Macao,2024-11-22
160,Guinea-Bissau,2023-07-21
161,Gibraltar,2023-11-04
162,French Southern Territories,2023-05-03
163,Ireland,2024-11-11
164,Bouvet Island (Bouvetoya),2024-10-02
165,Maldives,2024-10-21
166,Guernsey,2023-09-27
167,Guinea,2024-02-07
168,Uganda,2023-08-07
169,Antarctica (the territory South of 60 deg S),2024-08-02
170,Mayotte,2023-10-09
171,Jamaica,2023-08-30
172,Czech Republic,2023-08-12
173,Taiwan,2023-08-02
174,Niger,2024-09-28
175,Guernsey,2024-12-18
176,Svalbard & Jan Mayen Islands,2024-05-30
177,North Macedonia,2023-05-04
178,Guyana,2023-04-22
179,Korea,2023-04-12
180,Bahamas,2024-11-12
181,Saint Helena,2024-01-16
182,Sao Tome and Principe,2024-06-05
183,Puerto Rico,2023-10-30
184,China,2024-01-27
185,Faroe Islands,2022-12-24
186,Latvia,2024-10-22
187,Mauritius,2023-03-21
188,Guatemala,2024-09-16
189,Bahamas,2024-01-01
190,Greenland,2023-02-21
191,Cape Verde,2023-03-24
192,Lebanon,2023-12-16
193,Finland,2024-08-08
194,Chad,2023-08-08
195,Afghanistan,2023-09-18
196,Tunisia,2024-06-20
197,Faroe Islands,2024-11-05
198,Kyrgyz Republic,2024-01-10
199,French Southern Territories,2024-08-22
200,Togo,2024-04-27
201,Malaysia,2023-12-26
202,Grenada,2023-02-21
203,Sri Lanka,2024-04-07
204,Kiribati,2023-02-11
205,Saudi Arabia,2024-08-19
206,Ecuador,2024-10-29
207,Syrian Arab Republic,2023-06-28
208,Wallis and Futuna,2024-11-04
209,Tanzania,2024-04-22
210,Netherlands Antilles,2024-01-11
211,Panama,2024-04-29
212,Vanuatu,2024-08-06
213,Bangladesh,2023-11-29
214,Sao Tome and Principe,2023-09-14
215,Indonesia,2024-03-29
216,Liberia,2024-08-29
217,Tokelau,2024-02-23
218,Afghanistan,2023-11-12
219,Cambodia,2023-09-12
220,Qatar,2024-09-15
221,French Southern Territories,2023-05-10
