customer_id,recency,frequency,monetary,recency_score,frequency_score,monetary_score,rfm_score,segment
1,364,286,710751.55,5,5,5,15,Champion
2,362,280,747122.59,5,5,5,15,Champion
3,372,291,662590.52,4,5,5,14,Champion
4,361,288,745394.89,5,5,5,15,Champion
5,359,286,772283.87,5,5,5,15,Champion
6,373,253,625472.05,4,5,5,14,Champion
7,359,305,761719.17,5,5,5,15,Champion
8,359,298,794970.14,5,5,5,15,Champion
9,359,287,664467.48,5,5,5,15,Champion
10,360,302,768209.87,5,5,5,15,Champion
11,367,312,789172.67,4,5,5,14,Champion
12,375,306,765049.05,4,5,5,14,Champion
13,363,294,734716.72,5,5,5,15,Champion
14,359,275,660697.7,5,5,5,15,Champion
15,366,276,723985.48,4,5,5,14,Champion
16,360,285,778195.31,5,5,5,15,Champion
17,360,288,732571.35,5,5,5,15,Champion
18,359,294,787465.64,5,5,5,15,Champion
19,366,316,772508.51,4,5,5,14,Champion
20,360,274,740879.76,5,5,5,15,Champion
21,373,276,698750.63,4,5,5,14,Champion
22,363,275,704953.97,5,5,5,15,Champion
23,363,332,844983.32,5,5,5,15,Champion
24,363,299,752902.0,5,5,5,15,Champion
25,361,271,719747.83,5,5,5,15,Champion
26,359,279,732630.17,5,5,5,15,Champion
27,363,274,688414.64,5,5,5,15,Champion
28,370,266,668799.03,4,5,5,14,Champion
29,366,294,718294.43,4,5,5,14,Champion
30,363,292,805997.68,5,5,5,15,Champion
31,362,261,647486.26,5,5,5,15,Champion
32,361,300,792661.96,5,5,5,15,Champion
33,359,287,705241.94,5,5,5,15,Champion
34,359,290,695606.22,5,5,5,15,Champion
35,362,270,691676.53,5,5,5,15,Champion
36,362,280,706950.34,5,5,5,15,Champion
37,359,266,690778.43,5,5,5,15,Champion
38,360,282,713417.96,5,5,5,15,Champion
39,360,277,630664.39,5,5,5,15,Champion
40,365,298,794916.92,5,5,5,15,Champion
41,369,305,858190.53,4,5,5,14,Champion
42,366,268,632218.53,4,5,5,14,Champion
43,362,281,734214.86,5,5,5,15,Champion
44,361,286,679441.53,5,5,5,15,Champion
45,367,292,749347.6,4,5,5,14,Champion
46,359,262,630803.13,5,5,5,15,Champion
47,360,290,845642.8,5,5,5,15,Champion
48,363,277,724226.5,5,5,5,15,Champion
49,361,305,862125.6,5,5,5,15,Champion
50,359,282,781138.82,5,5,5,15,Champion
51,359,301,780189.22,5,5,5,15,Champion
52,359,276,670242.24,5,5,5,15,Champion
